Url,Revista,Instituição,QUALIS
http://asaa.anpcont.org.br/index.php/asaa,Advances in Scientific and Applied Accounting – ASAA,ANPCONT,A2
http://www.bbronline.com.br/,Brazilian Business Review – BBR,FUCAPE/ES,A2
https://revistas.face.ufmg.br/index.php/contabilidadevistaerevista,Contabilidade Vista & Revista,UFMG/MG,A2
http://rbgn.fecap.br/RBGN,Revista Brasileira de Gestão de Negócios – RBGN,FECAP/SP,A2
http://rcf.fea.usp.br/,Revista Contabilidade & Finanças (USP),FEA/USP,A2
https://periodicos.ufsc.br/index.php/contabilidade,Revista Contemporânea de Contabilidade – RCC,UFSC/SC,A2
http://www.revistas.usp.br/rco,Revista de Contabilidade e Organizações – RCO,FEA/USP/RP,A2
http://proxy.furb.br/ojs/index.php/universocontabil/index,Revista Universo Contábil,FURB/SC,A2
http://revistas.unisinos.br/index.php/base,BASE (UNISINOS),UNISINOS/RS,B1
http://www.cgg-amg.unb.br/,"Contabilidade, Gestão e Governança – CGG ",UnB,B1
http://www.custoseagronegocioonline.com.br/principal.html,Custos e @gronegócio on line,UFRPE,B1
http://www.repec.org.br/index.php/repec,Revista de Educação e Pesquisa em Contabilidade – REPEC,Abracicon/DF,B1
http://www.periodicos.uem.br/ojs/index.php/Enfoque,Revista Enfoque: Reflexão Contábil,UEM/PR,B1
http://www.atena.org.br/revista/ojs-2.2.3-06/index.php/pensarcontabil,Pensar Contábil,CRC/RJ,B2
http://revista.crcsc.org.br/revista/ojs-2.2.3-06/index.php/CRCSC/,Revista Catarinense da Ciência Contábil,CRC/SC,B2
http://150.165.111.246/revistaadmin/index.php/uacc/index,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR",UFCG – CCJS/UACC,B2
http://www.atena.org.br/revista/ojs-2.2.3-08/index.php/UERJ,Revista de Contabilidade do Mestrado em Ciências Contábeis,UERJ/RJ,B2
http://www.revistas.uneb.br/index.php/financ/,"Revista de Gestão, Finanças e Contabilidade",UNEB,B2
https://revistas.ufrj.br/index.php/scg,"Sociedade, Contabilidade e Gestão",PPGCC/UFRJ,B2
https://periodicos.ufrn.br/ambiente,Revista Ambiente Contábil,UFRN,B3
http://editora.unoesc.edu.br/index.php/race,"Revista de Administração, Contabilidade e Economia – RACE",UNOESC/SC,B3
https://www.fundace.org.br/revistaracef/index.php/racef,"Revista de Administração, Contabilidade e Economia da FUNDACE – RACEF",FUNDACE,B3
http://ojs.c3sl.ufpr.br/ojs2/index.php/rcc/index,Revista de Contabilidade e Controladoria – RC&C,UFPR/PR,B3
http://periodicos.ufpb.br/index.php/recfin,Revista Evidenciação Contábil,UFPB,B3
http://revista.crcmg.org.br/index.php?journal=rmc&page=index,Revista Mineira de Contabilidade – RMC,CRC-MG,B3
http://revistas.utfpr.edu.br/pb/index.php/CAP,CAP Accounting and Management,UTFPR,B4
http://www.seer.ufrgs.br/index.php/ConTexto,ConTexto,UFRGS,B4
https://abcustos.emnuvens.com.br/abcustos,Revista da Associação Brasileira de Custos – ABCustos,ABC – Associação Brasileira de Custos,B4
https://portalseer.ufba.br/index.php/rcontabilidade/,Revista de Contabilidade da UFBA,UFBA,B4
http://www.ojs.ufpi.br/index.php/gecont,Revista de Gestão e Contabilidade da UFPI,UFPI,B4
http://www.seer.furg.br/sinergia/index,"Revista do Instituto de Ciências Econômicas, Administrativas e Contábeis – Sinergia",FURG/RS,B4
http://editorarevistas.mackenzie.br/index.php/pcg,Práticas em Contabilidade e Gestão,Mackenzie,B5
http://www.reacfat.com.br/index.php/reac,Revista de Administração e Contabilidade da FAT,Fac. Anisio Teixeira (FAT),B5
http://www.revista.ufpe.br/ricontabeis/index.php/contabeis,Revista de Informação Contábil – RIC,UFPE/PE,B5
http://rbc.cfc.org.br,Revista Brasileira de Contabilidade – RBC,Conselho Federal de Contabilidade,C
