Revista,Qtd. de Publicações
Revista de Contabilidade e Organizações – RCO,56
Revista Ambiente Contábil,45
"Revista de Administração, Contabilidade e Economia – RACE",39
Revista Mineira de Contabilidade – RMC,28
Revista de Contabilidade da UFBA,25
"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR",23
Advances in Scientific and Applied Accounting – ASAA,23
CAP Accounting and Management,21
Revista Catarinense da Ciência Contábil,20
ConTexto,14
Revista de Informação Contábil – RIC,12
"Sociedade, Contabilidade e Gestão",9
Contabilidade Vista e Revista,9
Revista Evidenciação Contábil,9
"Revista de Gestão, Finanças e Contabilidade",8
Revista de Administração e Contabilidade da FAT,7
Revista de Gestão e Contabilidade da UFPI,6
Pensar Contábil,5
Revista da Associação Brasileira de Custos – ABCustos,4
Revista de Contabilidade e Controladoria – RCeC,3
Revista de Educação e Pesquisa em Contabilidade – REPEC,3
BASE (UNISINOS),2
Brazilian Business Review – BBR,1
